Number of words in the corpus: 6718
Number of words in the corpus_todo: 5398
Word:  Frequency: 612.0 LogProb: -1.295898790142403
Word: #nutrition Frequency: 2.0 LogProb: -3.6062380099411557
Word: #nutritional Frequency: 1.0 LogProb: -3.782329268996837
Word: #nyc Frequency: 3.0 LogProb: -3.481299273332856
Word: #nyctecheconomy Frequency: 6.0 LogProb: -3.2382612246465614
Word: #nye Frequency: 1.0 LogProb: -3.782329268996837
Word: #nysebell Frequency: 0.0 LogProb: -4.083359264660818
Word: #obesity Frequency: 0.0 LogProb: -4.083359264660818
Word: #oldpost Frequency: 1.0 LogProb: -3.782329268996837
Word: #ootsny Frequency: 0.0 LogProb: -4.083359264660818
Word: #p_number_c_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #packaging Frequency: 1.0 LogProb: -3.782329268996837
Word: #passions Frequency: 1.0 LogProb: -3.782329268996837
Word: #pbuk Frequency: 0.0 LogProb: -4.083359264660818
Word: #pension Frequency: 1.0 LogProb: -3.782329268996837
Word: #people Frequency: 3.0 LogProb: -3.481299273332856
Word: #peru Frequency: 0.0 LogProb: -4.083359264660818
Word: #pfizer Frequency: 0.0 LogProb: -4.083359264660818
Word: #pfizerrwanda Frequency: 0.0 LogProb: -4.083359264660818
Word: #pharma Frequency: 1.0 LogProb: -3.782329268996837
Word: #philanthropy Frequency: 2.0 LogProb: -3.6062380099411557
Word: #philippines Frequency: 0.0 LogProb: -4.083359264660818
Word: #plant Frequency: 0.0 LogProb: -4.083359264660818
Word: #poland Frequency: 0.0 LogProb: -4.083359264660818
Word: #prixgalien_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #profwomen Frequency: 2.0 LogProb: -3.6062380099411557
Word: #progressmakers Frequency: 21.0 LogProb: -2.7409365838386117
Word: #projectidesign Frequency: 0.0 LogProb: -4.083359264660818
Word: #projectidesigns Frequency: 0.0 LogProb: -4.083359264660818
Word: #projectidesign䞻s Frequency: 0.0 LogProb: -4.083359264660818
Word: #prospective Frequency: 2.0 LogProb: -3.6062380099411557
Word: #prostokvashino Frequency: 0.0 LogProb: -4.083359264660818
Word: #psoriasis Frequency: 2.0 LogProb: -3.6062380099411557
Word: #purinas Frequency: 0.0 LogProb: -4.083359264660818
Word: #q_number_ Frequency: 0.0 LogProb: -4.083359264660818
Word: #quito Frequency: 0.0 LogProb: -4.083359264660818
Word: #r&amp Frequency: 0.0 LogProb: -4.083359264660818
Word: #realdanger Frequency: 1.0 LogProb: -3.782329268996837
Word: #realfood Frequency: 1.0 LogProb: -3.782329268996837
Word: #reputation Frequency: 0.0 LogProb: -4.083359264660818
Word: #research Frequency: 2.0 LogProb: -3.6062380099411557
Word: #rmb Frequency: 0.0 LogProb: -4.083359264660818
Word: #rtra Frequency: 0.0 LogProb: -4.083359264660818
Word: #ruraldevelopment Frequency: 1.0 LogProb: -3.782329268996837
Word: #ruralwomen Frequency: 0.0 LogProb: -4.083359264660818
Word: #sabre Frequency: 0.0 LogProb: -4.083359264660818
Word: #safety Frequency: 2.0 LogProb: -3.6062380099411557
Word: #satiety Frequency: 0.0 LogProb: -4.083359264660818
Word: #school Frequency: 0.0 LogProb: -4.083359264660818
Word: #science Frequency: 2.0 LogProb: -3.6062380099411557
Word: #seedcamplive Frequency: 0.0 LogProb: -4.083359264660818
Word: #senegal Frequency: 0.0 LogProb: -4.083359264660818
Word: #seniors Frequency: 1.0 LogProb: -3.782329268996837
Word: #sentinel Frequency: 0.0 LogProb: -4.083359264660818
Word: #service Frequency: 2.0 LogProb: -3.6062380099411557
Word: #singapore Frequency: 0.0 LogProb: -4.083359264660818
Word: #slisustains Frequency: 1.0 LogProb: -3.782329268996837
Word: #smallbiz Frequency: 0.0 LogProb: -4.083359264660818
Word: #smallbusiness Frequency: 2.0 LogProb: -3.6062380099411557
Word: #smarties Frequency: 0.0 LogProb: -4.083359264660818
Word: #sme Frequency: 0.0 LogProb: -4.083359264660818
Word: #snack Frequency: 0.0 LogProb: -4.083359264660818
Word: #soapoperas Frequency: 2.0 LogProb: -3.6062380099411557
Word: #socent Frequency: 2.0 LogProb: -3.6062380099411557
Word: #social Frequency: 0.0 LogProb: -4.083359264660818
Word: #social_innovation Frequency: 5.0 LogProb: -3.3052080142771745
Word: #socialbusiness Frequency: 1.0 LogProb: -3.782329268996837
Word: #socialmedia Frequency: 1.0 LogProb: -3.782329268996837
Word: #spain Frequency: 0.0 LogProb: -4.083359264660818
Word: #startup Frequency: 1.0 LogProb: -3.782329268996837
